sasija;Znamka vozila;Leto izdelave;Število lastnikov;Barva;Vrsta goriva;Oznaka motorja;Moč;Prostornina;EURO oznaka;Prva registracija;Prve registracija (SI);Status/starost
ZFA18800005110020;FIAT PUNTO / 1.2;2001;1;kovinski - MODRA - TEMNA;Bencin;188A4000;44 kW;1242 ccm;EURO 3;2001-12-05;2001-12-05;Fizična oseba 57 let
VF3WB5FR8AE064622;PEUGEOT 207 / CABRIOLET 1.6 / i 16V;2010;4;kovinski - ČRNA - TEMNA;Bencin;5FR;115 kW;1598 ccm;EURO 5;2010-10-06;2010-10-06;Fizična oseba 68 let
ZFA19900005017129;FIAT 500L / 1.4 / 16v;2013;2;navaden - ČRNA - TEMNA;Bencin;843A1000;70 kW;1368 ccm;EURO 6;2013-09-12;2013-09-12;Fizična oseba 48 let
VF1FDCVH534105947;RENAULT MASTER FURGON 2.5 / DCI;2005;1;navaden - BELA - SREDNJA;Dizel;G9U A7;73 kW;2463 ccm;EURO 3;2005-10-12;2005-10-12;Pravna oseba
VF1FLGHA6AY330880;RENAULT TRAFIC FURGON 2.0 / DCI;2009;2;navaden - BELA - TEMNA;Dizel;M9R E7;84 kW;1995 ccm;EURO 4;2009-12-07;2009-12-07;Fizična oseba 47 let
WVWZZZ6KZXR519764;VOLKSWAGEN POLO / VARIANT 1.6;1998;5;navaden - RDEČA - TEMNA;Bencin;AEE;55 kW;1598 ccm;EURO 2;1998-08-21;1998-08-21;Fizična oseba 67 let
WBA1C71020E965753;BMW 116 / / D;None;2;kovinski - MODRA - TEMNA;Dizel;N47D20C;85 kW;1995 ccm;EURO 5;2012-01-03;2016-08-01 UVOŽEN;Pravna oseba
VF7ZCPMDC17065443;CITROEN JUMPER 2.8;2002;3;navaden - BELA - SREDNJA;Dizel;814043S;94 kW;2800 ccm;EURO 3;2002-06-21;2005-04-07 UVOŽEN;Fizična oseba 62 let
WF0NXXWPDN4Y57485;FORD FOCUS / 1.8 / TDCI;2004;1;navaden - BELA - SREDNJA;Dizel;F9DA;85 kW;1753 ccm;EURO 3;2004-10-29;2008-03-12 UVOŽEN;Fizična oseba 67 let
LD5YY31CBEE000145;YIYING CLASSIC 50 /;None;1;kovinski - ČRNA - SREDNJA;Bencin;BZ139QMB;2 kW;49 ccm;ni podatka;2015-04-15;2017-06-07 UVOŽEN;Fizična oseba 21 let
L4H5FA206K6000095;LONGJIA FIREFOX / 25;None;1;navaden - ČRNA - TEMNA;Bencin;LJ1P37QMB-2;1 kW;49 ccm;ni podatka;2019-06-18;2019-06-18;Fizična oseba 42 let
WBAEL710X0PR32117;BMW 318 / TOURING / D;2004;3;kovinski - ČRNA - SREDNJA;Dizel;204D4;85 kW;1995 ccm;EURO 4;2004-11-24;2007-04-18 UVOŽEN;Fizična oseba 48 let
VF1KTD10644639118;RENAULT LAGUNA / GRANDTOUR 2.0 / DCI;2011;1;kovinski - ČRNA - SREDNJA;Dizel;M9R U8;131 kW;1995 ccm;EURO 5;2011-02-15;2011-02-15;Pravna oseba
VF7GJ9HXC93332547;CITROEN BERLINGO / 1.6 / HDi;2006;2;kovinski - RDEČA - TEMNA;Dizel;9HX;66 kW;1560 ccm;EURO 4;2006-05-05;2006-05-05;Fizična oseba 49 let
SAJAA1227CNV32943;JAGUAR JAGUAR XJ / 3.0L / TD V6 SWB;None;1;kovinski - RDEČA - SREDNJA;Dizel;306DT;202 kW;2993 ccm;EURO 5;2012-02-17;2019-04-04 UVOŽEN;Fizična oseba 67 let
VF7CH9HYB39734886;CITROEN XSARA PICASSO / 1.6 / HDI 16V;2004;3;navaden - BELA - SREDNJA;Dizel;9HY;80 kW;1560 ccm;EURO 3;2004-05-13;2007-09-28 UVOŽEN;Fizična oseba 39 let
WVWZZZ3CZ7E185413;VOLKSWAGEN PASSAT / VARIANT 1.9 / TDI;2007;2;kovinski - MODRA - TEMNA;Dizel;BXE;77 kW;1896 ccm;EURO 4;2007-03-30;2011-02-07 UVOŽEN;Fizična oseba 35 let
WVWZZZ1HZSW601912;VOLKSWAGEN GOLF / 1.4 CL;1995;2;navaden - RDEČA - TEMNA;None;None;/ kW;/ ccm;EURO 1;1995-07-28;1995-07-28;Fizična oseba 56 let
ZFA18600002310292;FIAT MULTIPLA / 1.9 / JTD;2007;2;kovinski - SIVA - SREDNJA;Dizel;186A9000;88 kW;1910 ccm;EURO 4;2007-10-18;2007-10-18;Pravna oseba
