"ZNAMKA", "TIP", "REGISTRSKA", "ŠASIJA", "BARVA", "DATUM ODVZEMA"
"FIAT", "MULTIPLA", "LJ652UH", "ZFA18600002310292", "KOVINSKI - SIVA", "08.03.2021"
"BMW", "S 1000 RR", "LJ82GE", "WB10E2104L6D12657", "KOVINSKI - SIVA", "08.03.2021"
"RENAULT", "CLIO", "NB", "VF1BB0A0F20538914", "KOVINSKI - MODRA", "08.03.2021"
"RENAULT", "MEGANE", "LJZALA89", "VF1RFB00860300703", "KOVINSKI - RJAVA", "05.03.2021"
"JAGUAR", "XF", "LJ087KA", "SAJBB4BN0HCY49382", "NAVADEN - ČRNA", "03.03.2021"
"HONDA", "", "DX38306", "JF28E2039098", "KOVINSKI - ČRNA", "03.03.2021"
"AUDI", "A 4 AVANT", "CEFU318", "WAUZZZ8E65A555129", "KOVINSKI - ČRNA", "02.03.2021"
"PEUGEOT", "307", "LJ744JM", "VF33ENFUB82438223", "", "02.03.2021"
"PORSCHE", "PANAMERA 4S", "BCQX894", "WP0ZZZ97ZHL123507", "KOVINSKI - BELA", "02.03.2021"
"RENAULT", "MEGANE", "LJ14KSB", "VF1RFB00564061149", "KOVINSKI - SIVA", "01.03.2021"
"AUDI", "A 6", "", "WAUZZZ4F38N041265", "KOVINSKI - ČRNA", "26.02.2021"
"RENAULT", "CLIO", "LJ12CAI", "VF15RSN0A57534098", "KOVINSKI - SIVA", "25.02.2021"
"AUDI", "Q7", "LJ13GVM", "WAUZZZ4L67D055025", "KOVINSKI - SIVA", "25.02.2021"
"VOLKSWAGEN", "PASSAT", "LJ27NPM", "WVWZZZ3CZ8P119516", "KOVINSKI - MODRA", "24.02.2021"
"BAOTIAN", "BT49QT-9", "LJ6HC5", "L82TCAP96F1201852", "KOVINSKI - RDEČA", "24.02.2021"
"VOLKSWAGEN", "GOLF", "POZA277", "WVWZZZAUZDW126921", "NAVADEN - RDEČA", "22.02.2021"
"BMW", "X5 XDRIVE 30D", "LJ75BCT", "WBAFF41060L065994", "KOVINSKI - MODRA", "22.02.2021"
"MERCEDES BENZ", "560", "AG77ZAN", "WDD2221731A519065", "KOVINSKI - BELA", "22.02.2021"
"AUDI", "Q7", "", "WAUZZZ4L99D004850", "KOVINSKI - SIVA", "19.02.2021"
"AGROMEX", "VSI TIPI", "", "Z29000UT730666596", "KOVINSKI - SIVA", "18.02.2021"
"AUDI", "A 4 AVANT", "CEFS386", "WAUZZZ8K4AA176193", "KOVINSKI - SIVA", "18.02.2021"
"NISSAN", "PRIMERA", "", "SJNBEAP11U0513831", "KOVINSKI - SIVA", "17.02.2021"
"BMW", "", "LJJN595", "WBAXB91050DX41309", "KOVINSKI - SIVA", "17.02.2021"
